match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Golden State Warriors v Los Angeles Clippers,2025-10-29T03:00:00Z,Head To Head,Golden State Warriors,1.95,Los Angeles Clippers,1.85,1.053,BetRight
Toronto Raptors v Houston Rockets,2025-10-29T22:30:00Z,Head To Head,Toronto Raptors,2.85,Houston Rockets,1.43,1.05,BetRight
Boston Celtics v Cleveland Cavaliers,2025-10-29T23:00:00Z,Head To Head,Boston Celtics,2.38,Cleveland Cavaliers,1.58,1.053,BetRight
Detroit Pistons v Orlando Magic,2025-10-29T23:00:00Z,Head To Head,Detroit Pistons,1.93,Orlando Magic,1.87,1.053,BetRight
Brooklyn Nets v Atlanta Hawks,2025-10-29T23:30:00Z,Head To Head,Brooklyn Nets,3.45,Atlanta Hawks,1.31,1.053,BetRight
Dallas Mavericks v Indiana Pacers,2025-10-30T00:30:00Z,Head To Head,Dallas Mavericks,1.32,Indiana Pacers,3.4,1.052,BetRight
Denver Nuggets v New Orleans Pelicans,2025-10-30T01:00:00Z,Head To Head,Denver Nuggets,1.18,New Orleans Pelicans,4.9,1.052,BetRight
Utah Jazz v Portland Trail Blazers,2025-10-30T01:00:00Z,Head To Head,Utah Jazz,2.1,Portland Trail Blazers,1.74,1.051,BetRight
Minnesota Timberwolves v Los Angeles Lakers,2025-10-30T01:30:00Z,Head To Head,Minnesota Timberwolves,1.4,Los Angeles Lakers,2.95,1.053,BetRight
Phoenix Suns v Memphis Grizzlies,2025-10-30T02:00:00Z,Head To Head,Phoenix Suns,1.93,Memphis Grizzlies,1.87,1.053,BetRight
