match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,under_price
Charlotte Hornets v Toronto Raptors,Charlotte Hornets,Toronto Raptors,Player Blocks,Scottie Barnes,Toronto Raptors,1.5,2.35,Betr,Charlotte Hornets,1.56
Detroit Pistons v Chicago Bulls,Detroit Pistons,Chicago Bulls,Player Blocks,Isaiah Stewart,Detroit Pistons,1.5,1.51,Betr,Chicago Bulls,2.45
Detroit Pistons v Chicago Bulls,Detroit Pistons,Chicago Bulls,Player Blocks,Matas Buzelis,Chicago Bulls,1.5,2.35,Betr,Detroit Pistons,1.56
Philadelphia 76ers v Washington Wizards,Philadelphia 76ers,Washington Wizards,Player Blocks,Alex Sarr,Washington Wizards,1.5,1.61,Betr,Philadelphia 76ers,2.2
Philadelphia 76ers v Washington Wizards,Philadelphia 76ers,Washington Wizards,Player Blocks,Joel Embiid,Philadelphia 76ers,1.5,2.4,Betr,Washington Wizards,1.54
Boston Celtics v Denver Nuggets,Boston Celtics,Denver Nuggets,Player Blocks,Derrick White,Boston Celtics,1.5,2.4,Betr,Denver Nuggets,1.54
Boston Celtics v Denver Nuggets,Boston Celtics,Denver Nuggets,Player Blocks,Neemias Queta,Boston Celtics,1.5,2.35,Betr,Denver Nuggets,1.56
Brooklyn Nets v Orlando Magic,Brooklyn Nets,Orlando Magic,Player Blocks,Noah Clowney,Brooklyn Nets,0.5,1.54,Betr,Orlando Magic,2.4
San Antonio Spurs v Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,Player Blocks,Deandre Ayton,Los Angeles Lakers,0.5,1.45,Betr,San Antonio Spurs,2.6
San Antonio Spurs v Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,Player Blocks,Luke Kornet,San Antonio Spurs,1.5,2.65,Betr,Los Angeles Lakers,1.45
San Antonio Spurs v Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,Player Blocks,Victor Wembanyama,San Antonio Spurs,1.5,1.56,Betr,Los Angeles Lakers,2.35
Atlanta Hawks v New Orleans Pelicans,Atlanta Hawks,New Orleans Pelicans,Player Blocks,Derik Queen,New Orleans Pelicans,0.5,1.43,Betr,Atlanta Hawks,2.7
Oklahoma City Thunder v Utah Jazz,Oklahoma City Thunder,Utah Jazz,Player Blocks,Chet Holmgren,Oklahoma City Thunder,1.5,1.74,Betr,Utah Jazz,2
Memphis Grizzlies v Phoenix Suns,Memphis Grizzlies,Phoenix Suns,Player Blocks,Jaren Jackson Jr.,Memphis Grizzlies,1.5,2.3,Betr,Phoenix Suns,1.56
Golden State Warriors v Milwaukee Bucks,Golden State Warriors,Milwaukee Bucks,Player Blocks,Myles Turner,Milwaukee Bucks,0.5,1.27,Betr,Golden State Warriors,3.5
Golden State Warriors v Milwaukee Bucks,Golden State Warriors,Milwaukee Bucks,Player Blocks,Myles Turner,Milwaukee Bucks,1.5,2.2,Betr,Golden State Warriors,1.61
Golden State Warriors v Milwaukee Bucks,Golden State Warriors,Milwaukee Bucks,Player Blocks,Myles Turner,Milwaukee Bucks,2.5,4.6,Betr,Golden State Warriors,1.18
Portland Trail Blazers v Houston Rockets,Portland Trail Blazers,Houston Rockets,Player Blocks,Donovan Clingan,Portland Trail Blazers,1.5,2,Betr,Houston Rockets,1.77
Portland Trail Blazers v Houston Rockets,Portland Trail Blazers,Houston Rockets,Player Blocks,Robert Williams III,Portland Trail Blazers,0.5,1.54,Betr,Houston Rockets,2.4
