match,home_team,away_team,home_win,away_win,margin,agency
Brooklyn Nets v Charlotte Hornets,Brooklyn Nets,Charlotte Hornets,1.55,2.5,1.05,Neds
Washington Wizards v San Antonio Spurs,Washington Wizards,San Antonio Spurs,6,1.13,1.05,Neds
Miami Heat v Boston Celtics,Miami Heat,Boston Celtics,2.95,1.42,1.04,Neds
Orlando Magic v Atlanta Hawks,Orlando Magic,Atlanta Hawks,1.48,2.7,1.05,Neds
Oklahoma City Thunder v New Orleans Pelicans,Oklahoma City Thunder,New Orleans Pelicans,1.09,7.5,1.05,Neds
Denver Nuggets v Portland Trail Blazers,Denver Nuggets,Portland Trail Blazers,1.28,3.75,1.05,Neds
Cleveland Cavaliers v Minnesota Timberwolves,Cleveland Cavaliers,Minnesota Timberwolves,1.28,3.75,1.05,Neds
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,1.55,2.5,1.05,Neds
Milwaukee Bucks v Golden State Warriors,Milwaukee Bucks,Golden State Warriors,3.05,1.38,1.05,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,1.09,7.25,1.06,Neds
