match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,OG Anunoby,New York Knicks,Indiana Pacers,14.5,1.61,2.03,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Myles Turner,Indiana Pacers,New York Knicks,13.5,1.73,1.87,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Karl-Anthony Towns,New York Knicks,Indiana Pacers,22.5,1.89,1.71,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Aaron Nesmith,Indiana Pacers,New York Knicks,11.5,1.73,1.87,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Bennedict Mathurin,Indiana Pacers,New York Knicks,9.5,1.79,1.8,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Andrew Nembhard,Indiana Pacers,New York Knicks,10.5,1.8,1.79,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Mikal Bridges,New York Knicks,Indiana Pacers,15.5,1.87,1.73,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Pascal Siakam,Indiana Pacers,New York Knicks,20.5,1.81,1.78,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Josh Hart,New York Knicks,Indiana Pacers,8.5,1.63,2,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Jalen Brunson,New York Knicks,Indiana Pacers,30.5,1.82,1.77,BetKings
