match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Tyrese Haliburton,Indiana Pacers,New York Knicks,20.5,1.75,1.84,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Myles Turner,Indiana Pacers,New York Knicks,13.5,1.69,1.91,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Pascal Siakam,Indiana Pacers,New York Knicks,21.5,1.75,1.84,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Aaron Nesmith,Indiana Pacers,New York Knicks,11.5,1.72,1.89,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Bennedict Mathurin,Indiana Pacers,New York Knicks,9.5,1.78,1.82,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Andrew Nembhard,Indiana Pacers,New York Knicks,10.5,1.83,1.77,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,OG Anunoby,New York Knicks,Indiana Pacers,15.5,1.79,1.8,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Karl-Anthony Towns,New York Knicks,Indiana Pacers,22.5,1.89,1.72,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,T.J. McConnell,Indiana Pacers,New York Knicks,6.5,1.71,1.9,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Josh Hart,New York Knicks,Indiana Pacers,9.5,1.94,1.67,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Mikal Bridges,New York Knicks,Indiana Pacers,14.5,1.71,1.9,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Jalen Brunson,New York Knicks,Indiana Pacers,30.5,1.92,1.69,BetKings
Indiana Pacers v New York Knicks,Indiana Pacers,New York Knicks,Player Points,Obi Toppin,Indiana Pacers,New York Knicks,7.5,1.84,1.76,BetKings
