match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Player Double Double,Jaime Jaquez Jr.,Miami Heat,Golden State Warriors,0.5,3.4,Neds
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Player Double Double,Andrew Wiggins,Miami Heat,Golden State Warriors,0.5,8.75,Neds
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Player Double Double,Kel'el Ware,Miami Heat,Golden State Warriors,0.5,2.6,Neds
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Player Double Double,Trayce Jackson-Davis,Golden State Warriors,Miami Heat,0.5,6.4,Neds
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Player Double Double,Bam Adebayo,Miami Heat,Golden State Warriors,0.5,3.45,Neds
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Player Double Double,Brandin Podziemski,Golden State Warriors,Miami Heat,0.5,4,Neds
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Player Double Double,Davion Mitchell,Miami Heat,Golden State Warriors,0.5,5.8,Neds
Oklahoma City Thunder v Sacramento Kings,Oklahoma City Thunder,Sacramento Kings,Player Double Double,Russell Westbrook,Sacramento Kings,Oklahoma City Thunder,0.5,3.25,Neds
Oklahoma City Thunder v Sacramento Kings,Oklahoma City Thunder,Sacramento Kings,Player Double Double,Shai Gilgeous-Alexander,Oklahoma City Thunder,Sacramento Kings,0.5,3.3,Neds
Oklahoma City Thunder v Sacramento Kings,Oklahoma City Thunder,Sacramento Kings,Player Double Double,Chet Holmgren,Oklahoma City Thunder,Sacramento Kings,0.5,2.9,Neds
Oklahoma City Thunder v Sacramento Kings,Oklahoma City Thunder,Sacramento Kings,Player Double Double,Isaiah Hartenstein,Oklahoma City Thunder,Sacramento Kings,0.5,2.3,Neds
Minnesota Timberwolves v Washington Wizards,Minnesota Timberwolves,Washington Wizards,Player Double Double,Anthony Edwards,Minnesota Timberwolves,Washington Wizards,0.5,6.6,Neds
Minnesota Timberwolves v Washington Wizards,Minnesota Timberwolves,Washington Wizards,Player Double Double,Kyshawn George,Washington Wizards,Minnesota Timberwolves,0.5,7,Neds
Minnesota Timberwolves v Washington Wizards,Minnesota Timberwolves,Washington Wizards,Player Double Double,Julius Randle,Minnesota Timberwolves,Washington Wizards,0.5,2.55,Neds
Minnesota Timberwolves v Washington Wizards,Minnesota Timberwolves,Washington Wizards,Player Double Double,Naz Reid,Minnesota Timberwolves,Washington Wizards,0.5,4.4,Neds
Minnesota Timberwolves v Washington Wizards,Minnesota Timberwolves,Washington Wizards,Player Double Double,Rudy Gobert,Minnesota Timberwolves,Washington Wizards,0.5,2.02,Neds
Minnesota Timberwolves v Washington Wizards,Minnesota Timberwolves,Washington Wizards,Player Double Double,Marvin Bagley III,Washington Wizards,Minnesota Timberwolves,0.5,5.2,Neds
New Orleans Pelicans v Denver Nuggets,New Orleans Pelicans,Denver Nuggets,Player Double Double,Trey Murphy,NA,NA,0.5,8.25,Neds
New Orleans Pelicans v Denver Nuggets,New Orleans Pelicans,Denver Nuggets,Player Double Double,Nikola Joki<c4><87>,NA,NA,0.5,1.01,Neds
New Orleans Pelicans v Denver Nuggets,New Orleans Pelicans,Denver Nuggets,Player Double Double,Zion Williamson,New Orleans Pelicans,Denver Nuggets,0.5,7.25,Neds
New Orleans Pelicans v Denver Nuggets,New Orleans Pelicans,Denver Nuggets,Player Double Double,Jamal Murray,Denver Nuggets,New Orleans Pelicans,0.5,5,Neds
New Orleans Pelicans v Denver Nuggets,New Orleans Pelicans,Denver Nuggets,Player Double Double,Derik Queen,New Orleans Pelicans,Denver Nuggets,0.5,4.8,Neds
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Double Double,Toumani Camara,Portland Trail Blazers,Chicago Bulls,0.5,9,Neds
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Double Double,Donovan Clingan,Portland Trail Blazers,Chicago Bulls,0.5,2.8,Neds
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Double Double,Josh Giddey,Chicago Bulls,Portland Trail Blazers,0.5,1.62,Neds
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Double Double,Nikola Vu<c4><8d>evi<c4><87>,NA,NA,0.5,2.25,Neds
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Double Double,Deni Avdija,Portland Trail Blazers,Chicago Bulls,0.5,2.15,Neds
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Double Double,Jalen Smith,Chicago Bulls,Portland Trail Blazers,0.5,8.75,Neds
