gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn
0022500001,1610612760,Oklahoma City,Thunder,OKC,thunder,290:00,28,12,16,50,12,24,2,44,4,5,27,26
0022500001,1610612745,Houston,Rockets,HOU,rockets,290:00,12,24,2,44,28,12,16,50,5,4,26,27
0022500002,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,23,9,6,62,24,10,13,36,2,4,21,27
0022500002,1610612744,Golden State,Warriors,GSW,warriors,240:00,24,10,13,36,23,9,6,62,4,2,27,21
0022500003,1610612752,New York,Knicks,NYK,knicks,240:00,21,13,16,42,18,11,22,30,4,4,23,25
0022500003,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,18,11,22,30,21,13,16,42,4,4,25,23
0022500004,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,19,10,8,26,19,14,31,68,3,5,24,24
0022500004,1610612759,San Antonio,Spurs,SAS,spurs,240:00,19,14,31,68,19,10,8,26,5,3,24,24
0022500081,1610612753,Orlando,Magic,ORL,magic,240:00,25,18,23,56,16,10,22,54,7,4,20,28
0022500081,1610612748,Miami,Heat,MIA,heat,240:00,16,10,22,54,25,18,23,56,4,7,28,20
0022500084,1610612741,Chicago,Bulls,CHI,bulls,240:00,13,16,7,50,20,5,19,68,8,10,23,29
0022500084,1610612765,Detroit,Pistons,DET,pistons,240:00,20,5,19,68,13,16,7,50,10,8,29,23
0022500082,1610612737,Atlanta,Hawks,ATL,hawks,240:00,23,16,11,56,22,19,34,86,6,4,24,31
0022500082,1610612761,Toronto,Raptors,TOR,raptors,240:00,22,19,34,86,23,16,11,56,4,6,31,24
0022500088,1610612756,Phoenix,Suns,PHX,suns,240:00,19,28,15,64,23,22,16,54,7,10,25,22
0022500088,1610612758,Sacramento,Kings,SAC,kings,240:00,23,22,16,54,19,28,15,64,10,7,22,25
0022500087,1610612762,Utah,Jazz,UTA,jazz,240:00,22,27,17,58,23,25,8,46,6,6,21,21
0022500087,1610612746,LA,Clippers,LAC,clippers,240:00,23,25,8,46,22,27,17,58,6,6,21,21
0022500083,1610612738,Boston,Celtics,BOS,celtics,240:00,14,17,16,48,17,21,21,36,4,4,28,23
0022500083,1610612755,Philadelphia,76ers,PHI,sixers,240:00,17,21,21,36,14,17,16,48,4,4,23,28
0022500086,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,17,8,22,60,1,10,18,44,6,4,22,19
0022500086,1610612764,Washington,Wizards,WAS,wizards,240:00,1,10,18,44,17,8,22,60,4,6,19,22
0022500089,1610612757,Portland,Trail Blazers,POR,blazers,240:00,15,10,11,42,20,16,22,40,3,10,17,29
0022500089,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,20,16,22,40,15,10,11,42,10,3,29,17
0022500085,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,21,4,22,56,21,23,19,66,12,4,29,30
0022500085,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,21,23,19,66,21,4,22,56,4,12,30,29
0022500080,1610612766,Charlotte,Hornets,CHA,hornets,240:00,17,14,23,60,12,24,5,46,5,3,25,28
0022500080,1610612751,Brooklyn,Nets,BKN,nets,240:00,12,24,5,46,17,14,23,60,3,5,28,25
0022500005,1610612754,Indiana,Pacers,IND,pacers,290:00,20,18,23,56,21,11,13,50,4,2,37,33
0022500005,1610612760,Oklahoma City,Thunder,OKC,thunder,290:00,21,11,13,50,20,18,23,56,2,4,33,37
